phase,index,nanos
interrogate,0,2549500
interrogate,1,3188400
interrogate,2,3246200
interrogate,3,3406900
interrogate,4,3536200
interrogate,5,3559200
interrogate,6,3565700
interrogate,7,3616600
interrogate,8,4017100
interrogate,9,4024200
interrogate,10,4055200
interrogate,11,4177600
interrogate,12,4300900
interrogate,13,4306800
interrogate,14,4478200
interrogate,15,4534500
interrogate,16,4595200
interrogate,17,4623200
interrogate,18,4669000
interrogate,19,4693100
interrogate,20,4738200
interrogate,21,4894200
interrogate,22,4943800
interrogate,23,5025000
interrogate,24,5027000
interrogate,25,5163500
interrogate,26,5181700
interrogate,27,5234200
interrogate,28,5274600
interrogate,29,5369600
interrogate,30,5398400
interrogate,31,5503300
interrogate,32,5523100
interrogate,33,5525500
interrogate,34,5531100
interrogate,35,5531600
interrogate,36,5534600
interrogate,37,5614000
interrogate,38,5900200
interrogate,39,5960500
interrogate,40,6037500
interrogate,41,6182700
interrogate,42,6187800
interrogate,43,6221600
interrogate,44,6541700
interrogate,45,6588100
interrogate,46,6721100
interrogate,47,6892400
interrogate,48,7021300
interrogate,49,7223100
interrogate,50,7474200
interrogate,51,7944700
interrogate,52,8061300
interrogate,53,8350800
interrogate,54,8465700
interrogate,55,8633900
interrogate,56,8713400
interrogate,57,8827100
interrogate,58,9319400
interrogate,59,9821600
interrogate,60,10292800
interrogate,61,10609200
interrogate,62,11831100
interrogate,63,15669500
